"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"Logo-Front-Soldered-4mm";1;"LOGO";;;
2;",,,,,,,,,,,,,,,,,,,,,,,";"buzzardLabel";24;"";;;
3;"D3";"0402LED";1;"purple";;;
4;"C1,C2";"0603C";2;"0.1uF";;;
5;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
6;"C3,C4";"0603C";2;"2.2uF";;;
7;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
8;"JP1";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
9;"R5";"0402R";1;"2k2";;;
10;"S1";"SS-3292S-L1";1;"SS-3292S-L1";;;
11;"R1,R2";"0603R";2;"5.1k";;;
12;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
13;"U1";"SOP-16";1;"CH340C";;;
14;"H1,H2";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
15;"D2";"0402LED";1;"blue";;;
16;"R4,R3";"0402R";2;"10k";;;
17;"U2";"SOT-23-5";1;"SE5218";;;
18;"F1";"1206FUSE";1;"1206FUSE-500mA";;;
19;"K1";"U262-161N-4BVC11";1;"U262-161N-4BVC11";;;
20;"G***";"Symbol-Front-USB";1;"LOGO";;;
21;"D1";"0402LED";1;"white";;;
22;"K2";"HEADER_MALE_6X1";1;"HEADER_MALE_6X1";;;
23;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
24;"K3";"HEADER_MALE_6X1";1;"FTDI_HEADER";;;
25;"K4";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
