"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2","100n","","Soldered footprints:0603C","2",""
"C3,C4","2u2","","Soldered footprints:0603C","2",""
"D1","white","","Soldered footprints:0402LED","1",""
"D2","blue","","Soldered footprints:0402LED","1",""
"D3","purple","","Soldered footprints:0402LED","1",""
"DM1","SKU: 700160","","Soldered footprints:PCB","1",""
"F1","1206FUSE-500mA","","Soldered footprints:1206FUSE","1",""
"K1","CONN SMD USB-C FEMALE","","Soldered footprints:U262-161N-4BVC11","1",""
"K2","HEADER_MALE_6X1","","Soldered footprints:HEADER_MALE_6X1","1",""
"K3","FTDI_HEADER","","Soldered footprints:HEADER_MALE_6X1","1",""
"K4","HEADER_MALE_4X1","","Soldered footprints:HEADER_MALE_4X1","1",""
"R1,R2","5k1","","Soldered footprints:0603R","2",""
"R3,R4","10k","","Soldered footprints:0402R","2",""
"R5","2k2","","Soldered footprints:0402R","1",""
"S1","SK-3296S-01-L1","","Soldered footprints:SK-3296S-01-L1","1",""
"U1","CH340C","","Soldered footprints:SOP-16","1",""
"U2","SE5218","","Soldered footprints:SOT-23-5","1",""
